event,startDate,endDate
Boone,3/26/2020,5/5/2020
Mira,3/26/2020,6/22/2020
Clay,3/27/2020,9/7/2020
Anicotti,3/31/2020,7/22/2020
Peaches,3/31/2020,5/28/2020
Claude,4/5/2020,5/18/2020
Dobie,4/5/2020,8/7/2020
Tex,4/5/2020,9/19/2020
Eunice,4/6/2020,10/1/2020
Pecan,4/19/2020,10/8/2020
Spork,5/7/2020,7/2/2020
Cousteau,5/20/2020,6/11/2020
Tipper,5/30/2020,7/14/2020
Sylvana,6/13/2020,7/11/2020
Cranston,6/24/2020,8/18/2020
Avery,7/4/2020,8/14/2020
Sherb,7/13/2020,3/10/2021
Canberra,7/16/2020,9/23/2020
Marina,7/24/2020,3/26/2021
Tangy,8/9/2020,1/7/2021
Pate,8/16/2020,11/21/2020
Groucho,8/20/2020,10/14/2020
Tybalt,9/9/2020,11/13/2020
Punchy,9/21/2020,12/2/2020
Kabuki,9/25/2020,1/21/2021
Flo,10/3/2020,1/12/2021
Keaton,10/10/2020,11/4/2020
Robin,10/16/2020,12/13/2020
Annalise,11/6/2020,2/24/2021
Tabby,11/15/2020,12/8/2020
Melba,11/23/2020,4/19/2021
Kitty,12/4/2020,1/5/2021
Tia,12/10/2020,5/3/2021
Olaf,12/15/2020,7/22/2021
Kitt,1/7/2021,5/30/2021
Rowan,1/9/2021,2/2/2021
Cookie,1/14/2021,8/5/2021
Charlise,1/23/2021,2/10/2021
Fauna,2/4/2021,5/13/2021
Freya,2/12/2021,4/17/2021
Bruce,2/26/2021,3/15/2021
Olivia,3/12/2021,9/8/2021
Leopold,3/17/2021,5/21/2021
Rodeo,3/28/2021,7/9/2021
Cherry,4/19/2021,1/30/2022
Filbert,4/21/2021,12/7/2021
Lyman,5/5/2021,8/11/2021
Marcel,5/15/2021,5/26/2021
Gloria,5/23/2021,6/25/2021
Drago,5/28/2021,10/19/2021
Rocco,6/1/2021,6/12/2021
Lolly,6/14/2021,10/30/2021
Apple,6/27/2021,4/12/2022
Angus,7/11/2021,8/2/2021
Lopez,7/24/2021,8/28/2021
Portia,8/4/2021,11/4/2021
Gayle,8/7/2021,11/14/2021
Celia,8/13/2021,10/4/2021
Sprinkle,8/30/2021,10/24/2021
Tank,9/10/2021,12/29/2021
Wade,10/6/2021,3/30/2022
Gruff,10/21/2021,11/22/2021
Curlos,10/26/2021,1/24/2022
Bianca,11/1/2021,3/3/2022
Soleil,11/6/2021,1/13/2022
Flora,11/16/2021,12/21/2021
Mint,11/24/2021,3/8/2022
Rooney,12/9/2021,1/15/2022
Bertha,12/23/2021,4/6/2022
Norma,12/31/2021,5/8/2022
Chevre,1/15/2022,3/17/2022
Genji,1/17/2022,6/17/2022
Butch,1/26/2022,2/8/2022
Candi,2/1/2022,5/13/2022
Tiansheng,2/10/2022,6/11/2022
Annalisa,3/5/2022,8/25/2022
Rodney,3/10/2022,4/24/2022
Petri,3/19/2022,7/14/2022
Croque,4/1/2022,9/7/2022
Plucky,4/8/2022,8/8/2022
Zucker,4/14/2022,6/26/2022
Muffy,4/26/2022,11/29/2022
Greta,5/10/2022,8/15/2022
Pietro,5/15/2022,9/23/2022
Cheri,6/13/2022,2/26/2023
Blaire,6/19/2022,12/11/2022
Axel,6/28/2022,8/4/2022
Doc,7/16/2022,12/28/2022
Margie,8/6/2022,3/26/2023
Antonio,8/10/2022,11/18/2022
Gladys,8/17/2022,2/18/2023
Merry,8/27/2022,11/11/2022
Lobo,9/9/2022,10/20/2022
Lucha,9/25/2022,1/4/2023
Bam,10/22/2022,4/2/2023
Rosie,11/13/2022,3/23/2023
Cyrano,11/20/2022,2/1/2023
Shari,12/1/2022,3/3/2023
Dom,12/13/2022,5/16/2023
Ankha,12/30/2022,5/22/2023
Marcie,1/6/2023,4/10/2023
Boomer,2/3/2023,5/8/2023
Erik,2/20/2023,5/22/2023
Iggly,2/28/2023,5/20/2023
Vic,3/5/2023,4/30/2023
Cole,3/25/2023,5/22/2023
Tammy,3/28/2023,5/22/2023
Roswell,4/4/2023,5/22/2023
Bluebear,4/12/2023,5/22/2023
Maggie,5/2/2023,5/22/2023
Fang,5/10/2023,5/22/2023
Egbert,5/18/2023,5/22/2023
Louie,5/22/2023,5/22/2023
